======================================================================
  QuantHive — Multi-Agent PPO Training
  Episodes: 8000  |  Curriculum: 4 phases
  Device: cuda  |  Seed: 42
======================================================================
/kaggle/working/QuantHive/training/ppo_trainer.py:171: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  mb_cont = torch.FloatTensor(
Ep  1460 [hard        ] [portfolio_manager_0 ] | DD=73.09% | Ret=-71.38% | Viol=42.40% | Fails=603 | 3.1s
Ep  1470 [hard        ] [portfolio_manager_0 ] | DD=66.27% | Ret=-66.23% | Viol=49.00% | Fails=413 | 3.1s
Ep  1480 [hard        ] [portfolio_manager_0 ] | DD=51.31% | Ret=-50.90% | Viol=56.40% | Fails=365 | 3.1s
Ep  1490 [hard        ] [portfolio_manager_0 ] | DD=71.30% | Ret=-71.18% | Viol=57.60% | Fails=267 | 3.1s
Ep  1500 [hard        ] [trader_0            ] | DD=28.85% | Ret=-28.48% | Viol=55.20% | Fails=379 | 3.2s
Ep  1510 [hard        ] [trader_0            ] | DD=76.04% | Ret=-76.03% | Viol=56.60% | Fails=297 | 3.3s
Ep  1520 [hard        ] [trader_0            ] | DD=63.09% | Ret=-62.86% | Viol=35.80% | Fails=384 | 3.2s
Ep  1530 [hard        ] [trader_0            ] | DD=69.11% | Ret=-69.11% | Viol=47.80% | Fails=439 | 3.1s
Ep  1540 [hard        ] [trader_0            ] | DD=71.59% | Ret=-71.30% | Viol=38.60% | Fails=408 | 3.5s
Ep  1550 [hard        ] [risk_manager_0      ] | DD=62.96% | Ret=-62.65% | Viol=49.60% | Fails=235 | 3.1s
Ep  1560 [hard        ] [risk_manager_0      ] | DD=56.24% | Ret=-56.24% | Viol=50.60% | Fails=157 | 3.4s
Ep  1570 [hard        ] [risk_manager_0      ] | DD=60.28% | Ret=-60.04% | Viol=64.20% | Fails=336 | 3.2s
Ep  1580 [hard        ] [risk_manager_0      ] | DD=50.77% | Ret=-48.93% | Viol=63.40% | Fails=768 | 3.1s
Ep  1590 [hard        ] [risk_manager_0      ] | DD=45.00% | Ret=-44.02% | Viol=71.20% | Fails=369 | 3.4s
Ep  1600 [hard        ] [portfolio_manager_0 ] | DD=25.08% | Ret=-24.12% | Viol=67.80% | Fails=102 | 3.2s
